Robot has been awakened!
Kenobi start position Row: 8, Column 8
Kenobi moved left to (12, 9) | Reward: 2.0 | Distance to food: 11
Kenobi moved right to (12, 10) | Reward: -2.0 | Distance to food: 12
Kenobi moved down to (13, 10) | Reward: -2.0 | Distance to food: 13
Kenobi moved down to (14, 10) | Reward: -2.0 | Distance to food: 14
Kenobi moved up to (13, 10) | Reward: 2.0 | Distance to food: 13
Kenobi moved left to (13, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved down to (14, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved down to (15, 9) | Reward: -2.0 | Distance to food: 14
Kenobi moved left to (15, 8) | Reward: 2.0 | Distance to food: 13
WALL HIT! Kenobi crashed into the wall. Final score: 0
=== Episode 2 started ===
Kenobi moved left to (8, 7) | Reward: 2.0 | Distance to food: 9
Kenobi moved down to (9, 7) | Reward: -2.0 | Distance to food: 10
Kenobi moved right to (9, 8) | Reward: -2.0 | Distance to food: 11
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 10
Kenobi moved up to (7, 8) | Reward: 2.0 | Distance to food: 9
Kenobi moved down to (8, 8) | Reward: -2.0 | Distance to food: 10
Kenobi moved up to (7, 8) | Reward: 2.0 | Distance to food: 9
Kenobi moved down to (8, 8) | Reward: -2.0 | Distance to food: 10
Kenobi moved right to (8, 9) | Reward: -2.0 | Distance to food: 11
Kenobi moved down to (9, 9) | Reward: -2.0 | Distance to food: 12
Kenobi moved down to (10, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (9, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved right to (9, 10) | Reward: -2.0 | Distance to food: 13
Kenobi moved left to (9, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved down to (10, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (9, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved up to (8, 9) | Reward: 2.0 | Distance to food: 11
Kenobi moved down to (9, 9) | Reward: -2.0 | Distance to food: 12
Kenobi moved up to (8, 9) | Reward: 2.0 | Distance to food: 11
Kenobi moved down to (9, 9) | Reward: -2.0 | Distance to food: 12
Kenobi moved down to (10, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (9, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved down to (10, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved down to (11, 9) | Reward: -2.0 | Distance to food: 14
Kenobi moved up to (10, 9) | Reward: 2.0 | Distance to food: 13
Kenobi moved left to (10, 8) | Reward: 2.0 | Distance to food: 12
Kenobi moved right to (10, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved down to (11, 9) | Reward: -2.0 | Distance to food: 14
Kenobi moved down to (12, 9) | Reward: -2.0 | Distance to food: 15
Kenobi moved down to (13, 9) | Reward: -2.0 | Distance to food: 16
Kenobi moved down to (14, 9) | Reward: -2.0 | Distance to food: 17
Kenobi moved up to (13, 9) | Reward: 2.0 | Distance to food: 16
Kenobi moved left to (13, 8) | Reward: 2.0 | Distance to food: 15
Kenobi moved left to (13, 7) | Reward: 2.0 | Distance to food: 14
Kenobi moved right to (13, 8) | Reward: -2.0 | Distance to food: 15
Kenobi moved up to (12, 8) | Reward: 2.0 | Distance to food: 14
Kenobi moved up to (11, 8) | Reward: 2.0 | Distance to food: 13
Kenobi moved up to (10, 8) | Reward: 2.0 | Distance to food: 12
Kenobi moved down to (11, 8) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (10, 8) | Reward: 2.0 | Distance to food: 12
Kenobi moved up to (9, 8) | Reward: 2.0 | Distance to food: 11
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 10
Kenobi moved right to (8, 9) | Reward: -2.0 | Distance to food: 11
Kenobi moved right to (8, 10) | Reward: -2.0 | Distance to food: 12
Kenobi moved right to (8, 11) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (7, 11) | Reward: 2.0 | Distance to food: 12
Kenobi moved down to (8, 11) | Reward: -2.0 | Distance to food: 13
Kenobi moved right to (8, 12) | Reward: -2.0 | Distance to food: 14
Kenobi moved left to (8, 11) | Reward: 2.0 | Distance to food: 13
Kenobi moved down to (9, 11) | Reward: -2.0 | Distance to food: 14
Kenobi moved down to (10, 11) | Reward: -2.0 | Distance to food: 15
Kenobi moved right to (10, 12) | Reward: -2.0 | Distance to food: 16
Kenobi moved down to (11, 12) | Reward: -2.0 | Distance to food: 17
Kenobi moved up to (10, 12) | Reward: 2.0 | Distance to food: 16
Kenobi moved right to (10, 13) | Reward: -2.0 | Distance to food: 17
Kenobi moved up to (9, 13) | Reward: 2.0 | Distance to food: 16
Kenobi moved left to (9, 12) | Reward: 2.0 | Distance to food: 15
Kenobi moved down to (10, 12) | Reward: -2.0 | Distance to food: 16
Kenobi moved up to (9, 12) | Reward: 2.0 | Distance to food: 15
Kenobi moved down to (10, 12) | Reward: -2.0 | Distance to food: 16
Kenobi moved right to (10, 13) | Reward: -2.0 | Distance to food: 17
Kenobi moved down to (11, 13) | Reward: -2.0 | Distance to food: 18
Kenobi moved down to (12, 13) | Reward: -2.0 | Distance to food: 19
Kenobi moved right to (12, 14) | Reward: -2.0 | Distance to food: 20
Kenobi moved left to (12, 13) | Reward: 2.0 | Distance to food: 19
Kenobi moved left to (12, 12) | Reward: 2.0 | Distance to food: 18
Kenobi moved down to (13, 12) | Reward: -2.0 | Distance to food: 19
Kenobi moved right to (13, 13) | Reward: -2.0 | Distance to food: 20
Kenobi moved left to (13, 12) | Reward: 2.0 | Distance to food: 19
Kenobi moved right to (13, 13) | Reward: -2.0 | Distance to food: 20
Kenobi moved up to (12, 13) | Reward: 2.0 | Distance to food: 19
Kenobi moved right to (12, 14) | Reward: -2.0 | Distance to food: 20
Kenobi moved right to (12, 15) | Reward: -2.0 | Distance to food: 21
Kenobi moved up to (11, 15) | Reward: 2.0 | Distance to food: 20
Kenobi moved left to (11, 14) | Reward: 2.0 | Distance to food: 19
Kenobi moved right to (11, 15) | Reward: -2.0 | Distance to food: 20
Kenobi moved down to (12, 15) | Reward: -2.0 | Distance to food: 21
WALL HIT! Kenobi crashed into the wall. Final score: 0
=== Episode 3 started ===
Kenobi moved down to (9, 8) | Reward: -2.0 | Distance to food: 6
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 5
Kenobi moved left to (8, 7) | Reward: 2.0 | Distance to food: 4
Kenobi moved left to (8, 6) | Reward: 2.0 | Distance to food: 3
Kenobi moved left to (8, 5) | Reward: -2.0 | Distance to food: 4
Kenobi moved down to (9, 5) | Reward: -2.0 | Distance to food: 5
Kenobi moved right to (9, 6) | Reward: 2.0 | Distance to food: 4
Kenobi moved right to (9, 7) | Reward: -2.0 | Distance to food: 5
